1,Evanston whitewater park, Bear Wyoming, US
2,Sulphur Campground to Chalk Creek,WY, Bear Utah, US/Wyoming, US
3,Headwaters to state line, Bitch Creek Wyoming, US
4,Meek's Cabin Res to WY 410, Blacks Fork Wyoming, US
5,Tunnel outlet to Highway 34, Bluegrass Creek Wyoming, US
6,Boulder Basin Rd to WY352, Boulder Creek Wyoming, US
7,Box Elder Canyon, Box Elder Creek Wyoming, US
8,Lower, Buffalo Fork Wyoming, US
9,North Fork to Bull Lake, Bull Lake Creek Wyoming, US
10,1. Styx and Stones, Clarks Fork Yellowstone Wyoming, US
11,2. Upper, Clarks Fork Yellowstone Wyoming, US
12,3. Honeymoon, Clarks Fork Yellowstone Wyoming, US
13,4. The Box, Clarks Fork Yellowstone Wyoming, US
14,5. Lower, Clarks Fork Yellowstone Wyoming, US
15,1- confluence of Nth. & Mid. Forks to Moiser Gulch Picnic area, Clear Creek Wyoming, US
16,2- Moiser Picnic to Old Hydro Station, Clear Creek Wyoming, US
17,3- from 2 miles above to 1/2 mile below Buffalo, Clear Creek Wyoming, US
18,Trailhead to Clarks Fork Yellowstone R., Crandall Creek Wyoming, US
19,Falls to Crystal Creek Rd., Crystal Creek Wyoming, US
20,1- Sec 4,T29N, R77W to Forest Service boundary (Upper Canyon), Deer Creek Wyoming, US
21,2- Sec.11, T31N, R77W to Sec 26,T32N,R77W (Lower Canyon), Deer Creek Wyoming, US
22,N.+S.Br.conf to US26, Ditch Creek Wyoming, US
23,Rob Roy Reservoir to Bobbie Thomson Campground below Keystone, Douglas Creek Wyoming, US
24,State Line to Encampment (canyon), Encampment Wyoming, US
25,Wooden Bridge to mouth, Granite Creek Wyoming, US
26,Green River Lakes to Tepee Creek, Green Wyoming, US
27,Venus Creek to Forest Service boundary, Greybull Wyoming, US
28,Murphy Creek Bridge to Little Greys River, Greys River Wyoming, US
29,Little Greys River to Hwy bridge, Greys Wyoming, US
30,Lower Slide Lake to Kelly, Gros Ventre Wyoming, US
31,Headwaters to Yellowstone National Park, Hellroaring Creek Montana, US/Wyoming, US
32,Bondurant to Snake River (Hoback Canyon), Hoback Wyoming, US
33,1- Jelm Public Access to Woods Landing (Jelm Canyon), Laramie Wyoming, US
34,2- Laramie town run, Laramie Wyoming, US
35,3- Thunder River Rd. (Wheatland #2) to Tunnel Rd. (Laramie Canyon), Laramie Wyoming, US
36,4- Tunnel Road to Palmer Canyon Road (Lower Laramie Canyon), Laramie Wyoming, US
37,Canyon, Lewis River Wyoming, US
38,FS 351 to Hwy 130, Libby Creek Wyoming, US
39,FS 100 to FS 261, Medicine Bow River Wyoming, US
40,Granite Springs Reservoir to Crystal Springs Reservoir, Middle Crow Creek Wyoming, US
41,FS 338 to Little Laramie (Hwy 130), Middle Fork Little Laramie Wyoming, US
42,Hwy 181 bridge to Sinks Cavern , Middle Popo Agie Wyoming, US
43,Green River falls to CR 353, North Fork Encampment Wyoming, US
44,Hwy 130 to Hwy 130, North Fork Little Laramie Wyoming, US
45,Along Hwy 130, North French Creek Wyoming, US
46,Along FS 500, North Mullens Creek Wyoming, US
47,1- State line to French Creek (Lower Northgate Canyon), North Platte Colorado, US/Wyoming, US
48,2- Kortes dam though the Miracle Mile, North Platte Wyoming, US
49,3- Pathfinder Dam to Alcova Reservoir, North Platte Wyoming, US
50,4- Casper Whitewater Park, North Platte Wyoming, US
51,Lower, Pacific Creek Wyoming, US
52,North Fork to the Valley floor, Paintrock Creek Wyoming, US
